DateTime,Source,Air Temp,Humidity,Soil Moisture
"April 10, 2021 at 02:35PM",Garden_Data2,24.5,48,768
"April 10, 2021 at 02:50PM",Garden_Data2,24.9,47,768
"April 10, 2021 at 03:04PM",Garden_Data2,25.2,47,766
"April 10, 2021 at 03:19PM",Garden_Data2,25.2,47,766
"April 10, 2021 at 03:34PM",Garden_Data2,25.2,47,766
"April 10, 2021 at 03:48PM",Garden_Data2,25,47,765
"April 10, 2021 at 04:03PM",Garden_Data2,24.7,48,765
"April 10, 2021 at 04:18PM",Garden_Data2,24.6,49,765
"April 10, 2021 at 04:32PM",Garden_Data2,24.5,49,764
"April 10, 2021 at 04:47PM",Garden_Data2,24.5,50,763
"April 10, 2021 at 05:01PM",Garden_Data2,24.4,49,763
"April 10, 2021 at 05:16PM",Garden_Data2,24.3,49,763
"April 10, 2021 at 05:31PM",Garden_Data2,24.3,50,762
"April 10, 2021 at 05:45PM",Garden_Data2,24.2,50,762
"April 10, 2021 at 06:00PM",Garden_Data2,24.2,50,762
"April 10, 2021 at 06:14PM",Garden_Data2,24.2,51,762
"April 10, 2021 at 06:29PM",Garden_Data2,24.1,52,762
"April 10, 2021 at 06:43PM",Garden_Data2,24,53,762
"April 10, 2021 at 06:58PM",Garden_Data2,23.9,54,761
"April 10, 2021 at 07:12PM",Garden_Data2,23.8,54,760
"April 10, 2021 at 07:27PM",Garden_Data2,23.7,54,760
"April 10, 2021 at 07:42PM",Garden_Data2,23.5,54,760
"April 10, 2021 at 07:56PM",Garden_Data2,23.4,55,760
"April 10, 2021 at 08:11PM",Garden_Data2,23.3,54,760
"April 10, 2021 at 08:25PM",Garden_Data2,23.2,55,760
"April 10, 2021 at 08:40PM",Garden_Data2,23.1,55,760
"April 10, 2021 at 08:54PM",Garden_Data2,23.1,55,760
"April 10, 2021 at 09:09PM",Garden_Data2,23,55,760
"April 10, 2021 at 09:24PM",Garden_Data2,23,55,760
"April 10, 2021 at 09:38PM",Garden_Data2,22.8,55,760
"April 10, 2021 at 09:40PM",Garden_Data2,22.9,56,757
"April 10, 2021 at 09:55PM",Garden_Data2,22.8,60,761
